      0.000      1.627      0.000      0.500      0.500
  16956.183      2.116      1.000      0.500      0.500
  16973.379      2.117      1.000      1.500      1.500
  16973.379      2.117      1.000      1.500      0.500
  25739.860      2.642      0.000      0.500      0.500
  29172.855      2.989      2.000      2.500      2.500
  29172.855      2.989      2.000      2.500      1.500
  29172.855      2.989      2.000      2.500      0.500
  29172.904      2.989      2.000      1.500      1.500
  29172.904      2.989      2.000      1.500      0.500
  30266.880      3.132      1.000      0.500      0.500
  30272.510      3.133      1.000      1.500      1.500
  30272.510      3.133      1.000      1.500      0.500
  33200.696      3.647      0.000      0.500      0.500
  34548.754      3.987      2.000      2.500      2.500
  34548.789      3.987      2.000      2.500      1.500
  34548.789      3.987      2.000      2.500      0.500
  34548.754      3.987      2.000      1.500      1.500
  34548.789      3.987      2.000      1.500      0.500
  34588.600      3.999      3.000      3.500      3.500
  34588.600      3.999      3.000      3.500      2.500
  34588.600      3.999      3.000      3.500      1.500
  34588.600      3.999      3.000      3.500      0.500
  34588.600      3.999      3.000      2.500      2.500
  34588.600      3.999      3.000      2.500      1.500
  34588.600      3.999      3.000      2.500      0.500
  35040.270      4.137      1.000      0.500      0.500
  35042.790      4.138      1.000      1.500      1.500
  35042.790      4.138      1.000      1.500      0.500
  36372.647      4.649      0.000      0.500      0.500
