      0.000      1.770      0.000      0.500      0.500
  12985.170      2.234      1.000      0.500      0.500
  13042.890      2.234      1.000      1.500      1.500
  13042.890      2.234      1.000      1.500      0.500
  21026.800      2.820      0.000      0.500      0.500
  21534.420      2.854      2.000      2.500      2.500
  21534.420      2.854      2.000      2.500      1.500
  21534.420      2.854      2.000      2.500      0.500
  21536.750      2.854      2.000      1.500      1.500
  21536.750      2.854      2.000      1.500      0.500
  24701.440      3.265      1.000      0.500      0.500
  24720.200      3.265      1.000      1.500      1.500
  24720.200      3.265      1.000      1.500      0.500
  27397.010      3.797      2.000      2.500      2.500
  27397.010      3.797      2.000      2.500      1.500
  27397.010      3.797      2.000      2.500      0.500
  27398.110      3.797      2.000      1.500      1.500
  27398.110      3.797      2.000      1.500      0.500
  27450.650      3.810      0.000      0.500      0.500
  28127.700      3.993      3.000      3.500      3.500
  28127.700      3.993      3.000      3.500      2.500
  28127.700      3.993      3.000      3.500      1.500
  28127.700      3.993      3.000      3.500      0.500
  28127.700      3.993      3.000      2.500      2.500
  28127.700      3.993      3.000      2.500      1.500
  28127.700      3.993      3.000      2.500      0.500
  28999.290      4.275      1.000      0.500      0.500
  29007.700      4.275      1.000      1.500      1.500
  29007.700      4.275      1.000      1.500      0.500
  30185.180      4.769      2.000      2.500      2.500
  30185.180      4.769      2.000      2.500      1.500
  30185.180      4.769      2.000      2.500      0.500
  30185.690      4.769      2.000      1.500      1.500
  30185.690      4.769      2.000      1.500      0.500
  30274.260      4.814      0.000      0.500      0.500
  30605.600      4.992      3.000      3.500      3.500
  30605.600      4.992      3.000      3.500      2.500
  30605.600      4.992      3.000      3.500      1.500
  30605.600      4.992      3.000      3.500      0.500
  30605.600      4.992      3.000      2.500      2.500
  30605.600      4.992      3.000      2.500      1.500
  30605.600      4.992      3.000      2.500      0.500
  31069.980      5.280      1.000      0.500      0.500
  31074.460      5.280      1.000      1.500      1.500
  31074.460      5.280      1.000      1.500      0.500
  31695.510      5.754      2.000      2.500      2.500
  31695.510      5.754      2.000      2.500      1.500
  31695.510      5.754      2.000      2.500      0.500
  31695.750      5.754      2.000      1.500      1.500
  31695.750      5.754      2.000      1.500      0.500
  31764.950      5.815      0.000      0.500      0.500
